"","Date","rides"
"1",2001-01-01,295439
"2",2001-01-02,776862
"3",2001-01-03,820048
"4",2001-01-04,867675
"5",2001-01-05,887519
"6",2001-01-06,575407
"7",2001-01-07,374435
"8",2001-01-08,980660
"9",2001-01-09,974858
"10",2001-01-10,980656
"11",2001-01-11,992119
"12",2001-01-12,1015080
"13",2001-01-13,589814
"14",2001-01-14,371733
"15",2001-01-15,672871
"16",2001-01-16,1021198
"17",2001-01-17,1012748
"18",2001-01-18,1002714
"19",2001-01-19,906515
"20",2001-01-20,579657
"21",2001-01-21,376345
"22",2001-01-22,1002191
"23",2001-01-23,1016200
"24",2001-01-24,988028
"25",2001-01-25,998455
"26",2001-01-26,960735
"27",2001-01-27,588422
"28",2001-01-28,368261
"29",2001-01-29,948375
"30",2001-01-30,978576
"31",2001-01-31,995263
"32",2001-02-01,1052014
"33",2001-02-02,959733
"34",2001-02-03,610474
"35",2001-02-04,402946
"36",2001-02-05,1041383
"37",2001-02-06,1035846
"38",2001-02-07,1010576
"39",2001-02-08,1003567
"40",2001-02-09,967418
"41",2001-02-10,602308
"42",2001-02-11,403379
"43",2001-02-12,867566
"44",2001-02-13,1043867
"45",2001-02-14,993579
"46",2001-02-15,1017126
"47",2001-02-16,1027425
"48",2001-02-17,588913
"49",2001-02-18,386480
"50",2001-02-19,777809
"51",2001-02-20,1031101
"52",2001-02-21,982737
"53",2001-02-22,981743
"54",2001-02-23,1018168
"55",2001-02-24,499985
"56",2001-02-25,350677
"57",2001-02-26,1004090
"58",2001-02-27,979165
"59",2001-02-28,966692
"60",2001-03-01,1026181
"61",2001-03-02,1038759
"62",2001-03-03,675067
"63",2001-03-04,384786
"64",2001-03-05,860268
"65",2001-03-06,1009863
"66",2001-03-07,1024397
"67",2001-03-08,995763
"68",2001-03-09,1033706
"69",2001-03-10,629429
"70",2001-03-11,408271
"71",2001-03-12,974514
"72",2001-03-13,1012484
"73",2001-03-14,1021451
"74",2001-03-15,955376
"75",2001-03-16,920286
"76",2001-03-17,599571
"77",2001-03-18,410921
"78",2001-03-19,1017715
"79",2001-03-20,1029731
"80",2001-03-21,1023956
"81",2001-03-22,1027178
"82",2001-03-23,1024694
"83",2001-03-24,602228
"84",2001-03-25,347656
"85",2001-03-26,985002
"86",2001-03-27,1012309
"87",2001-03-28,1004869
"88",2001-03-29,1016159
"89",2001-03-30,974903
"90",2001-03-31,624058
"91",2001-04-01,415325
"92",2001-04-02,1017471
"93",2001-04-03,1052404
"94",2001-04-04,1043650
"95",2001-04-05,968648
"96",2001-04-06,1010929
"97",2001-04-07,640340
"98",2001-04-08,435761
"99",2001-04-09,995053
"100",2001-04-10,1020511
"101",2001-04-11,981185
"102",2001-04-12,989208
"103",2001-04-13,862101
"104",2001-04-14,626854
"105",2001-04-15,364321
"106",2001-04-16,856034
"107",2001-04-17,874178
"108",2001-04-18,903807
"109",2001-04-19,914973
"110",2001-04-20,918202
"111",2001-04-21,600223
"112",2001-04-22,381947
"113",2001-04-23,975179
"114",2001-04-24,1027294
"115",2001-04-25,974468
"116",2001-04-26,1022961
"117",2001-04-27,1027040
"118",2001-04-28,623225
"119",2001-04-29,421732
"120",2001-04-30,1003939
"121",2001-05-01,1063448
"122",2001-05-02,1030038
"123",2001-05-03,1060611
"124",2001-05-04,1040085
"125",2001-05-05,633907
"126",2001-05-06,415190
"127",2001-05-07,1002617
"128",2001-05-08,1040746
"129",2001-05-09,1038428
"130",2001-05-10,1015222
"131",2001-05-11,1000358
"132",2001-05-12,645104
"133",2001-05-13,420931
"134",2001-05-14,959352
"135",2001-05-15,1031606
"136",2001-05-16,992699
"137",2001-05-17,1000572
"138",2001-05-18,1020562
"139",2001-05-19,641341
"140",2001-05-20,424661
"141",2001-05-21,952841
"142",2001-05-22,1015290
"143",2001-05-23,975216
"144",2001-05-24,969785
"145",2001-05-25,983432
"146",2001-05-26,510245
"147",2001-05-27,388769
"148",2001-05-28,391499
"149",2001-05-29,997879
"150",2001-05-30,1000327
"151",2001-05-31,961593
"152",2001-06-01,1052112
"153",2001-06-02,615154
"154",2001-06-03,429918
"155",2001-06-04,1025005
"156",2001-06-05,929333
"157",2001-06-06,998969
"158",2001-06-07,1001578
"159",2001-06-08,1006672
"160",2001-06-09,636864
"161",2001-06-10,436487
"162",2001-06-11,905947
"163",2001-06-12,942098
"164",2001-06-13,907369
"165",2001-06-14,887343
"166",2001-06-15,908276
"167",2001-06-16,670506
"168",2001-06-17,420227
"169",2001-06-18,906672
"170",2001-06-19,939663
"171",2001-06-20,936049
"172",2001-06-21,898106
"173",2001-06-22,952779
"174",2001-06-23,629193
"175",2001-06-24,436924
"176",2001-06-25,942581
"177",2001-06-26,940808
"178",2001-06-27,940229
"179",2001-06-28,939817
"180",2001-06-29,992562
"181",2001-06-30,646583
"182",2001-07-01,433185
"183",2001-07-02,955155
"184",2001-07-03,983589
"185",2001-07-04,459300
"186",2001-07-05,916032
"187",2001-07-06,953359
"188",2001-07-07,595573
"189",2001-07-08,437073
"190",2001-07-09,931318
"191",2001-07-10,933752
"192",2001-07-11,957893
"193",2001-07-12,945461
"194",2001-07-13,949501
"195",2001-07-14,626851
"196",2001-07-15,417937
"197",2001-07-16,875946
"198",2001-07-17,916842
"199",2001-07-18,930205
"200",2001-07-19,944624
"201",2001-07-20,932083
"202",2001-07-21,591150
"203",2001-07-22,378138
"204",2001-07-23,850854
"205",2001-07-24,934894
"206",2001-07-25,871204
"207",2001-07-26,950898
"208",2001-07-27,930490
"209",2001-07-28,603728
"210",2001-07-29,430434
"211",2001-07-30,905021
"212",2001-07-31,880333
"213",2001-08-01,866920
"214",2001-08-02,787107
"215",2001-08-03,979868
"216",2001-08-04,644354
"217",2001-08-05,450354
"218",2001-08-06,902341
"219",2001-08-07,869970
"220",2001-08-08,849418
"221",2001-08-09,841434
"222",2001-08-10,940336
"223",2001-08-11,604085
"224",2001-08-12,418626
"225",2001-08-13,889702
"226",2001-08-14,863896
"227",2001-08-15,875505
"228",2001-08-16,798214
"229",2001-08-17,926053
"230",2001-08-18,566767
"231",2001-08-19,437708
"232",2001-08-20,871796
"233",2001-08-21,887718
"234",2001-08-22,859449
"235",2001-08-23,899857
"236",2001-08-24,920056
"237",2001-08-25,514431
"238",2001-08-26,436729
"239",2001-08-27,896917
"240",2001-08-28,929418
"241",2001-08-29,897035
"242",2001-08-30,908394
"243",2001-08-31,981000
"244",2001-09-01,637666
"245",2001-09-02,467016
"246",2001-09-03,443923
"247",2001-09-04,1116366
"248",2001-09-05,1044028
"249",2001-09-06,1049702
"250",2001-09-07,1056411
"251",2001-09-08,643283
"252",2001-09-09,384846
"253",2001-09-10,1071386
"254",2001-09-11,953962
"255",2001-09-12,926646
"256",2001-09-13,1007213
"257",2001-09-14,1030994
"258",2001-09-15,612411
"259",2001-09-16,415412
"260",2001-09-17,917655
"261",2001-09-18,1036648
"262",2001-09-19,934811
"263",2001-09-20,969244
"264",2001-09-21,963161
"265",2001-09-22,636779
"266",2001-09-23,359006
"267",2001-09-24,937960
"268",2001-09-25,964347
"269",2001-09-26,1025197
"270",2001-09-27,1021081
"271",2001-09-28,1019687
"272",2001-09-29,637613
"273",2001-09-30,409444
"274",2001-10-01,1065089
"275",2001-10-02,1075096
"276",2001-10-03,1015165
"277",2001-10-04,899473
"278",2001-10-05,1029842
"279",2001-10-06,625072
"280",2001-10-07,401709
"281",2001-10-08,800466
"282",2001-10-09,1049394
"283",2001-10-10,895868
"284",2001-10-11,1021541
"285",2001-10-12,996799
"286",2001-10-13,513999
"287",2001-10-14,406130
"288",2001-10-15,1033309
"289",2001-10-16,1018349
"290",2001-10-17,1031642
"291",2001-10-18,1013079
"292",2001-10-19,951947
"293",2001-10-20,628470
"294",2001-10-21,430837
"295",2001-10-22,1009490
"296",2001-10-23,992963
"297",2001-10-24,862818
"298",2001-10-25,942574
"299",2001-10-26,977939
"300",2001-10-27,579731
"301",2001-10-28,402830
"302",2001-10-29,1016664
"303",2001-10-30,990431
"304",2001-10-31,974771
"305",2001-11-01,1025033
"306",2001-11-02,1032245
"307",2001-11-03,635468
"308",2001-11-04,440435
"309",2001-11-05,1054398
"310",2001-11-06,1040556
"311",2001-11-07,1030054
"312",2001-11-08,1001133
"313",2001-11-09,929386
"314",2001-11-10,614929
"315",2001-11-11,412701
"316",2001-11-12,808313
"317",2001-11-13,1023316
"318",2001-11-14,990057
"319",2001-11-15,979760
"320",2001-11-16,1042035
"321",2001-11-17,650613
"322",2001-11-18,412795
"323",2001-11-19,994317
"324",2001-11-20,1001298
"325",2001-11-21,985883
"326",2001-11-22,321330
"327",2001-11-23,639017
"328",2001-11-24,502747
"329",2001-11-25,372572
"330",2001-11-26,989755
"331",2001-11-27,981475
"332",2001-11-28,976130
"333",2001-11-29,967464
"334",2001-11-30,1035103
"335",2001-12-01,638392
"336",2001-12-02,416599
"337",2001-12-03,1047241
"338",2001-12-04,1046755
"339",2001-12-05,1035945
"340",2001-12-06,1015744
"341",2001-12-07,1017965
"342",2001-12-08,617951
"343",2001-12-09,406133
"344",2001-12-10,999552
"345",2001-12-11,1003459
"346",2001-12-12,975570
"347",2001-12-13,984448
"348",2001-12-14,977077
"349",2001-12-15,620743
"350",2001-12-16,404945
"351",2001-12-17,990781
"352",2001-12-18,1009241
"353",2001-12-19,953574
"354",2001-12-20,982991
"355",2001-12-21,990209
"356",2001-12-22,584051
"357",2001-12-23,392302
"358",2001-12-24,524076
"359",2001-12-25,218185
"360",2001-12-26,617191
"361",2001-12-27,687256
"362",2001-12-28,736133
"363",2001-12-29,470854
"364",2001-12-30,306024
"365",2001-12-31,648345
"366",2002-01-01,292295
"367",2002-01-02,763636
"368",2002-01-03,834105
"369",2002-01-04,855023
"370",2002-01-05,538926
"371",2002-01-06,368324
"372",2002-01-07,949923
"373",2002-01-08,968042
"374",2002-01-09,979944
"375",2002-01-10,969634
"376",2002-01-11,1002379
"377",2002-01-12,564277
"378",2002-01-13,370000
"379",2002-01-14,980845
"380",2002-01-15,978742
"381",2002-01-16,950996
"382",2002-01-17,963726
"383",2002-01-18,963659
"384",2002-01-19,552409
"385",2002-01-20,372287
"386",2002-01-21,646127
"387",2002-01-22,1006341
"388",2002-01-23,985561
"389",2002-01-24,1002479
"390",2002-01-25,1023370
"391",2002-01-26,608641
"392",2002-01-27,406967
