"","route","date","rides"
"1","1","01/2001",6982.59090909091
"2","1","02/2001",7401.4
"3","1","03/2001",7571.77272727273
"4","1","04/2001",6875.04761904762
"5","1","05/2001",7173.18181818182
"6","1","06/2001",6521.28571428571
"7","1","07/2001",6193.33333333333
"8","1","08/2001",5738.04347826087
"9","1","09/2001",7080.78947368421
"10","1","10/2001",7776.17391304348
"11","1","11/2001",7163.7619047619
"12","1","12/2001",7399.1
"13","1","01/2002",7616.04545454545
"14","1","02/2002",7746.2
"15","1","03/2002",7705.61904761905
"16","1","04/2002",7320.18181818182
"17","1","05/2002",7494.45454545455
"18","1","06/2002",7576.95
"19","1","07/2002",7401.45454545455
"20","1","08/2002",6572.27272727273
"21","1","09/2002",7234
"22","1","10/2002",7153.26086956522
"23","1","11/2002",7076.65
"24","1","12/2002",6438.19047619048
"25","1","01/2003",7696.18181818182
"26","1","02/2003",7646.65
"27","1","03/2003",7235.38095238095
"28","1","04/2003",6590.13636363636
"29","1","05/2003",7277.57142857143
"30","1","06/2003",6910
"31","1","07/2003",7045.13636363636
"32","1","08/2003",6661.28571428571
"33","1","09/2003",3793.04761904762
"34","1","10/2003",3995.78260869565
"35","1","11/2003",3472.05263157895
"36","1","12/2003",2994.45454545455
"37","1","01/2004",3337
"38","1","02/2004",3278.6
"39","1","03/2004",3427.5652173913
"40","1","04/2004",3262.5
"41","1","05/2004",3710.5
"42","1","06/2004",3284.54545454545
"43","1","07/2004",2880.90476190476
"44","1","08/2004",2807.54545454545
"45","1","09/2004",3370.95238095238
"46","1","10/2004",3362
"47","1","11/2004",3194.42857142857
"48","1","12/2004",2847.78260869565
"49","1","01/2005",3121.66666666667
"50","1","02/2005",3338.1
"51","1","03/2005",3119.5652173913
"52","1","04/2005",3183
"53","1","05/2005",3113.14285714286
"54","1","06/2005",2860.04545454545
"55","1","07/2005",2780
"56","1","08/2005",2898.08695652174
"57","1","09/2005",3416.09523809524
"58","1","10/2005",3267.04761904762
"59","1","11/2005",3294.2380952381
"60","1","12/2005",2938.09523809524
"61","1","01/2006",2853.61904761905
"62","1","02/2006",3132.15
"63","1","03/2006",3099.91304347826
"64","1","04/2006",2770.3
"65","1","05/2006",2920
"66","1","06/2006",2817.45454545455
"67","1","07/2006",2691.05
"68","1","08/2006",2689.4347826087
"69","1","09/2006",3052.6
"70","1","10/2006",3386.72727272727
"71","1","11/2006",3241.85714285714
"72","1","12/2006",3064.35
"73","1","01/2007",2804.31818181818
"74","1","02/2007",3011.1
"75","1","03/2007",3183
"76","1","04/2007",3090.04761904762
"77","1","05/2007",3100.72727272727
"78","1","06/2007",2979.2380952381
"79","1","07/2007",2734.47619047619
"80","1","08/2007",2680.91304347826
"81","1","09/2007",3215.21052631579
"82","1","10/2007",3109.95652173913
"83","1","11/2007",2932.14285714286
"84","1","12/2007",2693.35
"85","1","01/2008",2846
"86","1","02/2008",3036.19047619048
"87","1","03/2008",2976.28571428571
"88","1","04/2008",3158.22727272727
"89","1","05/2008",3277.52380952381
"90","1","06/2008",3113.66666666667
"91","1","07/2008",2990.95454545455
"92","1","08/2008",2859.95238095238
"93","1","09/2008",3470.80952380952
"94","1","10/2008",3473.95652173913
"95","1","11/2008",3139.94736842105
"96","1","12/2008",2803.86363636364
"97","1","01/2009",3015.71428571429
"98","1","02/2009",3031.45
"99","1","03/2009",3238.5
"100","1","04/2009",3099.36363636364
"101","1","05/2009",3127.55
"102","1","06/2009",2858.40909090909
"103","1","07/2009",2748.09090909091
"104","1","08/2009",2690.2380952381
"105","1","09/2009",2993.71428571429
"106","1","10/2009",3175.31818181818
"107","1","11/2009",2900.4
"108","1","12/2009",2606.36363636364
"109","1","01/2010",2984.8
"110","1","02/2010",3008.6
"111","1","03/2010",2852.60869565217
"112","1","04/2010",2761.18181818182
"113","1","05/2010",2798.25
"114","1","06/2010",2786.36363636364
"115","1","07/2010",2705.7619047619
"116","1","08/2010",2794.31818181818
"117","1","09/2010",3078.04761904762
"118","1","10/2010",3035.7619047619
"119","1","11/2010",2932.57142857143
